k,weight_factor,penalty_factor,MSE
3,80,0.8,2.0886341260641865
3,80,0.9,2.084333682074569
3,80,1,2.0803457579192215
3,120,0.1,2.235532617429354
3,120,0.2,2.08151748556296
3,120,0.3,2.0765820004592186
3,120,0.6,2.083352905222815
3,120,0.7,2.082561357092409
3,120,0.8,2.0839921904217507
3,120,0.9,2.0797807197186686
3,120,1,2.0759664645076628
3,140,0.1,2.235974534441942
3,140,0.2,2.081860351067553
3,140,0.3,2.076348708055609
3,140,0.6,2.0817123245405704
3,140,0.7,2.0809187972305305
3,140,0.8,2.081758296612541
3,140,0.9,2.07758203726984
3,140,1,2.0738561458595735
3,145,0.1,2.2361061269331115
3,145,0.2,2.081962259659069
3,145,0.3,2.0763034759388233
3,145,0.6,2.081312128229015
3,145,0.7,2.0805178185743873
3,145,0.8,2.0812112663478692
3,145,0.9,2.0770431421096522
3,145,1,2.073339663900789
3,150,0.1,2.2362460016954997
3,150,0.2,2.082070506866608
3,150,0.3,2.076263439376719
3,150,0.6,2.0809161990679192
3,150,0.7,2.0801210344081427
3,150,0.8,2.080669182113417
3,150,0.9,2.0765089373381
3,150,1,2.0728279938704652
3,180,0.1,2.2372545230216114
3,180,0.2,2.0828499489463725
3,180,0.3,2.0761322161928772
3,180,0.6,2.078637228807409
3,180,0.7,2.0778357784804
3,180,0.8,2.0775283548123276
3,180,0.9,2.0734099135284954
3,180,1,2.069866242060206
4,1,0.1,2.113585744192546
4,1,0.2,2.054120351104582
4,1,0.3,2.008447552814264
4,1,0.6,2.0175912936815132
4,1,0.7,2.0284303221253954
4,1,0.8,2.026776260877321
4,1,0.9,2.0278053131421223
4,1,1,2.0178010780328113
4,30,0.1,2.1123798838253838
4,30,0.2,2.052360290176331
4,30,0.3,2.0066945940645997
4,30,0.6,2.015396261688733
4,30,0.7,2.0259444519123093
4,30,0.8,2.0234603675183327
4,30,0.9,2.0242100412718904
4,30,1,2.014252760914071
4,80,0.1,2.110796625532574
4,80,0.2,2.0497570420702713
4,80,0.3,2.0040540634992117
4,80,0.6,2.011958147693328
4,80,0.7,2.0220096118133433
4,80,0.8,2.0181638090999074
4,80,0.9,2.018444034381764
4,80,1,2.0085551234808734
4,120,0.1,2.1100991392196544
4,120,0.2,2.0481183918601356
4,120,0.3,2.002273073877174
4,120,0.6,2.009268192125649
4,120,0.7,2.018875407452215
4,120,0.8,2.013969379228178
4,120,0.9,2.0138606895799134
4,120,1,2.003996687727536
4,140,0.1,2.109966052871751
4,140,0.2,2.0474582329870383
4,140,0.3,2.0014955764861035
4,140,0.6,2.0079417457264066
4,140,0.7,2.017319280898229
4,140,0.8,2.011903481114516
4,140,0.9,2.0116068817526735
4,140,1,2.001755637010082
4,145,0.1,2.1099561311457995
4,145,0.2,2.0473102740339453
4,145,0.3,2.0013136673786462
4,145,0.6,2.0076141392673286
4,145,0.7,2.0169339376155597
4,145,0.8,2.011393214361406
4,145,0.9,2.011050622364572
4,145,1,2.0012027935354157
4,150,0.1,2.1099556426794797
4,150,0.2,2.0471692242903314
4,150,0.3,2.001136906152373
4,150,0.6,2.007288544225253
4,150,0.7,2.016550519972877
4,150,0.8,2.010885905166851
4,150,0.9,2.0104977263920314
4,150,1,2.000653404902795
4,180,0.1,2.1101521176147853
4,180,0.2,2.0464698150519074
4,180,0.3,2.0001890452650035
4,180,0.6,2.0053874640800085
4,180,0.7,2.0143011094912033
4,180,0.8,2.0079148499633575
4,180,0.9,2.007261575409429
4,180,1,1.9974400063429656
5,1,0.1,2.030145766429261
5,1,0.2,1.9916939857910032
5,1,0.3,1.9960330345378052
5,1,0.6,2.016625101396554
5,1,0.7,2.0264338882625244
5,1,0.8,2.0301217766558737
5,1,0.9,2.0248694113408265
5,1,1,2.0028946613932
5,30,0.1,2.028514361047793
5,30,0.2,1.9891359990998807
5,30,0.3,1.9926982210351478
5,30,0.6,2.0124212344200263
5,30,0.7,2.022120834355326
5,30,0.8,2.025459574092633
5,30,0.9,2.0198323788023735
5,30,1,1.9984788308296424
5,80,0.1,2.0265011808425792
5,80,0.2,1.9854743952711673
5,80,0.3,1.9876667735087774
5,80,0.6,2.0058975125668996
5,80,0.7,2.015364043461126
5,80,0.8,2.0181008784802494
5,80,0.9,2.011780148294609
5,80,1,1.9914390034564058
5,120,0.1,2.0256515409048803
5,120,0.2,1.98320108256286
5,120,0.3,1.9842102424497878
5,120,0.6,2.0010553907398245
5,120,0.7,2.0102484303105066
5,120,0.8,2.012471568945445
5,120,0.9,2.005531913743326
5,120,1,1.9859260532928347
5,140,0.1,2.025482554825613
5,140,0.2,1.9822719104844588
5,140,0.3,1.9826535888070183
5,140,0.6,1.998746630137566
5,140,0.7,2.007783705730194
5,140,0.8,2.0097510196827173
5,140,0.9,2.0024931525495724
5,140,1,1.9832396456037698
5,145,0.1,2.0254666722854084
5,145,0.2,1.9820605783364398
5,145,0.3,1.9822819185054934
5,145,0.6,1.9981824281346803
5,145,0.7,2.0071790864142094
5,145,0.8,2.0090830380370046
5,145,0.9,2.001745126893621
5,145,1,1.9825782795373934
5,150,0.1,2.0254612523289057
5,150,0.2,1.9818575269508154
5,150,0.3,1.9819172355829309
5,150,0.6,1.9976236853095477
5,150,0.7,2.0065794153403558
5,150,0.8,2.0084202834650395
5,150,0.9,2.0010021668742657
5,150,1,1.9819214031978114
5,180,0.1,2.0256457734514544
5,180,0.2,1.9808106585188667
5,180,0.3,1.9798763607640182
5,180,0.6,1.9943921378221576
5,180,0.7,2.0030924717154734
5,180,0.8,2.004561223907812
5,180,0.9,1.9966590518794767
5,180,1,1.9780823517131247
6,1,0.1,1.991833990435021
6,1,0.2,1.957002650913907
6,1,0.3,1.9490268000570825
6,1,0.6,1.9799026269254372
6,1,0.7,1.9849886363094766
6,1,0.8,2.0004860030623437
6,1,0.9,1.9958631831569098
6,1,1,1.9807128777454404
6,30,0.1,1.9897030284305797
6,30,0.2,1.953792228633083
6,30,0.3,1.9456343366499318
6,30,0.6,1.975938856482869
6,30,0.7,1.9811024334662133
6,30,0.8,1.9963788626327796
6,30,0.9,1.9916885676993004
6,30,1,1.976814495892853
6,80,0.1,1.9868533516506444
6,80,0.2,1.9490148994541998
6,80,0.3,1.9405124742425304
6,80,0.6,1.9697311354858213
6,80,0.7,1.9748394839013423
6,80,0.8,1.9897483002408383
6,80,0.9,1.9849038506165044
6,80,1,1.9704611988082399
6,120,0.1,1.9853375946377325
6,120,0.2,1.9458428619552515
6,120,0.3,1.9369751819369616
6,120,0.6,1.9650493104975124
6,120,0.7,1.969967219850912
6,120,0.8,1.984544731077954
6,120,0.9,1.9795090965499498
6,120,1,1.9653490339154651
6,140,0.1,1.9848366568660534
6,140,0.2,1.9444635422436747
6,140,0.3,1.935375768724
6,140,0.6,1.9627938373089633
6,140,0.7,1.9675910434437576
6,140,0.8,1.9819979825928569
6,140,0.9,1.9768529202818665
6,140,1,1.962823081948116
6,145,0.1,1.9847380180743017
6,145,0.2,1.9441397773807583
6,145,0.3,1.934993303165139
6,145,0.6,1.9622405079141039
6,145,0.7,1.967005959405566
6,145,0.8,1.9813700205436873
6,145,0.9,1.9761963655895376
6,145,1,1.9621981199542464
6,150,0.1,1.9846499596633764
6,150,0.2,1.9438243725688342
6,150,0.3,1.934617813515789
6,150,0.6,1.9616917245104784
6,150,0.7,1.9664249149589235
6,150,0.8,1.9807460122103266
6,150,0.9,1.9755432696969717
6,150,1,1.9615762328787465
6,180,0.1,1.984341854736547
6,180,0.2,1.9421061113136373
6,180,0.3,1.9325127466496448
6,180,0.6,1.9585025592706868
6,180,0.7,1.9630338117254322
6,180,0.8,1.9770950455611263
6,180,0.9,1.9717070780562578
6,180,1,1.9579190654775784
7,1,0.1,1.9664655951370156
7,1,0.2,1.9390308825326605
7,1,0.3,1.9091004143651333
7,1,0.6,1.9619854223608513
7,1,0.7,1.968045484896431
7,1,0.8,1.9761662006642395
7,1,0.9,1.9793455281283854
7,1,1,1.960451890946775
7,30,0.1,1.9640048738007905
7,30,0.2,1.9358046355691545
7,30,0.3,1.9059617773917288
7,30,0.6,1.9581894594779365
7,30,0.7,1.9640493480843415
7,30,0.8,1.9720566733610687
7,30,0.9,1.9751623445763076
7,30,1,1.9565221343585748
7,80,0.1,1.9606740388385042
7,80,0.2,1.9310538587730977
7,80,0.3,1.9013395635714598
7,80,0.6,1.9523365580399001
7,80,0.7,1.9578060621829791
7,80,0.8,1.9655858359519536
7,80,0.9,1.9685040283313069
7,80,1,1.9502601814708185
7,120,0.1,1.958815368980965
7,120,0.2,1.9279224454487032
7,120,0.3,1.898236895986026
7,120,0.6,1.9479821468097918
7,120,0.7,1.9530540653480915
7,120,0.8,1.9605909947602937
7,120,0.9,1.9632794372146454
7,120,1,1.9453012966916365
7,140,0.1,1.9581416431998333
7,140,0.2,1.9265563930982914
7,140,0.3,1.8968549665768863
7,140,0.6,1.9458955607371309
7,140,0.7,1.9507505863737562
7,140,0.8,1.9581578577880465
7,140,0.9,1.9607163877442446
7,140,1,1.9428654765503648
7,145,0.1,1.9579989109012375
7,145,0.2,1.9262344876937714
7,145,0.3,1.8965262273502497
7,145,0.6,1.9453843961754371
7,145,0.7,1.9501839032779917
7,145,0.8,1.9575584037212912
7,145,0.9,1.9600832425088643
7,145,1,1.942263818456187
7,150,0.1,1.9578662953411154
7,150,0.2,1.9259202518041356
7,150,0.3,1.896204102123715
7,150,0.6,1.9448776538938954
7,150,0.7,1.949621184301044
7,150,0.8,1.9569628145769196
7,150,0.9,1.9594534994499702
7,150,1,1.9416654468627605
7,180,0.1,1.9572790178424038
7,180,0.2,1.924192165785405
7,180,0.3,1.894409223396284
7,180,0.6,1.9419356465465378
7,180,0.7,1.9463345595042725
7,180,0.8,1.9534774657023906
7,180,0.9,1.9557537297667318
7,180,1,1.9381515553408455
8,1,0.1,1.9496648285505984
8,1,0.2,1.9076057496590109
8,1,0.3,1.8845353903016844
8,1,0.6,1.933716436002593
8,1,0.7,1.9528201024269616
8,1,0.8,1.9378972120837374
8,1,0.9,1.920031553480579
8,1,1,1.931541320805532
8,30,0.1,1.9477419790277402
8,30,0.2,1.9054356056872677
8,30,0.3,1.8826480489490733
8,30,0.6,1.930915317342355
8,30,0.7,1.9496409792302163
8,30,0.8,1.934835628437081
8,30,0.9,1.9174773168391186
8,30,1,1.9288295022315332
8,80,0.1,1.9451841834547996
8,80,0.2,1.9023597158421572
8,80,0.3,1.8800170263142015
8,80,0.6,1.9266842378100673
8,80,0.7,1.9447215223798553
8,80,0.8,1.9300747790560702
8,80,0.9,1.9135538140411352
8,80,1,1.924605398864149
8,120,0.1,1.9437808560994139
8,120,0.2,1.900412413315965
8,120,0.3,1.8783332808546134
8,120,0.6,1.9235231385387017
8,120,0.7,1.9409350280589097
8,120,0.8,1.9263438406303772
8,120,0.9,1.9104281715990992
8,120,1,1.9211966539506624
8,140,0.1,1.9432777604960916
8,140,0.2,1.8995831135077625
8,140,0.3,1.8775990180015587
8,140,0.6,1.9219946235488918
8,140,0.7,1.9390798670607192
8,140,0.8,1.924504720715019
8,140,0.9,1.9088799426725007
8,140,1,1.919503249934642
8,145,0.1,1.943171776673117
8,145,0.2,1.8993895998716273
8,145,0.3,1.8774256759699164
8,145,0.6,1.9216188140230468
8,145,0.7,1.9386215625915106
8,145,0.8,1.9240497015751594
8,145,0.9,1.9084966677515973
8,145,1,1.919083500840958
8,150,0.1,1.9430735711951228
8,150,0.2,1.8992014475740213
8,150,0.3,1.87725633997317
8,150,0.6,1.9212457448800002
8,150,0.7,1.9381657297129187
8,150,0.8,1.9235969064519476
8,150,0.9,1.9081152284783023
8,150,1,1.918665514324552
8,180,0.1,1.9426447380857501
8,180,0.2,1.8981820273364376
8,180,0.3,1.8763237367057775
8,180,0.6,1.919070194919074
8,180,0.7,1.9354889302080098
